,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
42,205,368,208,352,245,320,245,304,298,280,352,392,245,424,208,392,181,352,346,336,346,280,373,368,378,376,341,432,373,360,368
43,210,368,213,352,245,320,245,304,298,280,346,392,245,424,208,392,181,352,346,336,346,280,373,368,378,376,346,432,373,368,368
44,215,368,213,352,245,320,245,304,298,272,352,392,245,424,208,392,181,352,346,336,346,280,373,368,378,376,341,432,373,368,368
45,220,368,213,352,245,320,245,296,293,256,341,384,245,424,208,392,181,352,346,336,346,280,373,368,378,376,341,432,373,368,368
46,225,368,213,352,245,320,245,288,288,232,325,384,245,424,208,392,181,352,341,336,346,280,373,368,378,376,341,432,373,368,368
47,230,368,208,352,245,320,245,280,282,224,314,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
48,235,376,208,352,245,320,245,280,277,224,304,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
49,240,376,208,352,245,320,245,272,282,224,304,384,245,424,208,392,181,360,346,336,346,280,373,368,378,376,341,440,373,360,368
50,245,376,208,352,245,320,245,272,282,232,304,384,245,424,208,392,181,352,346,336,346,280,373,368,378,376,346,440,373,368,368
51,250,376,208,352,245,320,245,280,282,240,309,384,245,432,208,392,181,360,346,336,346,280,373,368,378,376,346,440,373,368,368
52,255,376,208,352,245,320,245,280,288,248,314,384,245,424,208,392,181,360,346,336,346,280,373,368,378,376,341,440,373,368,368
53,260,376,208,352,245,320,245,288,288,256,320,392,245,424,208,392,181,360,341,336,341,280,373,368,378,376,341,440,373,368,368
54,265,368,208,352,245,320,245,296,293,264,325,384,245,424,208,392,181,360,341,336,341,280,373,368,378,376,341,440,373,368,368
55,270,368,208,352,245,320,245,296,293,264,325,384,245,424,208,392,181,360,341,336,341,280,373,368,378,376,341,440,373,368,368
56,275,376,213,352,245,320,245,288,288,248,325,392,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,440,373,360,368
57,280,376,213,352,245,320,245,280,293,240,325,392,245,424,208,392,181,352,346,336,346,280,373,368,378,376,341,440,373,360,368
58,285,376,208,352,245,320,245,288,288,248,325,392,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,440,373,360,368
59,290,376,208,352,245,320,245,288,293,248,325,384,245,424,208,392,181,360,341,336,341,280,373,368,378,376,341,440,373,368,368
60,295,368,208,352,245,320,245,288,293,256,325,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,440,373,368,368
61,300,368,208,352,245,320,245,296,298,264,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,440,373,368,368
62,305,368,208,352,245,320,245,296,298,264,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,362
63,310,368,208,352,245,320,245,296,298,264,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
64,315,368,213,352,245,320,245,296,298,264,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,362
65,320,368,208,352,245,320,245,296,298,264,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,362
66,325,368,208,352,245,320,245,288,293,256,330,384,245,424,208,384,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
67,330,368,208,352,245,320,245,288,293,248,330,384,245,424,208,384,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
68,335,368,208,352,245,320,245,288,293,248,330,384,245,424,208,384,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
69,340,368,213,352,245,320,245,296,293,256,330,384,245,424,208,384,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
70,345,368,213,352,245,320,245,288,298,264,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,368,368
71,350,368,213,352,245,320,245,296,298,264,330,384,245,424,208,384,176,352,341,336,341,280,373,368,378,376,341,432,373,368,368
72,355,368,213,352,245,320,245,296,298,264,330,384,245,424,208,384,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
73,360,368,213,352,245,320,245,296,298,272,330,384,245,424,208,384,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
74,365,368,213,352,245,320,250,296,293,264,336,384,245,424,208,384,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
75,370,368,213,352,245,320,245,296,298,264,330,384,245,424,208,384,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
76,375,368,213,352,245,320,245,288,293,256,330,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
77,380,376,213,360,245,320,245,288,293,256,325,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,362
78,385,376,213,360,240,328,240,288,288,256,320,384,245,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,362
79,390,376,213,360,240,328,234,288,282,256,314,392,240,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,368,368
80,395,376,213,360,234,328,229,288,277,256,309,392,240,424,208,392,181,352,341,336,341,280,373,368,378,376,341,440,373,368,368
81,400,376,213,360,234,328,229,288,277,256,309,392,240,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,368,368
82,405,376,213,360,234,328,229,288,277,256,304,392,240,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
83,410,376,213,360,234,328,229,288,272,256,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
84,415,376,208,360,234,328,229,296,272,256,304,392,240,424,208,392,176,352,341,336,336,144,133,368,378,376,346,432,373,368,368
85,420,376,208,360,234,328,229,296,272,256,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,346,432,373,360,368
86,425,376,208,360,234,328,229,296,272,264,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
87,430,376,208,360,234,328,229,296,272,264,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
