,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
43,210,360,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,215,352,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,220,344,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,225,344,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,230,352,208,200,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,235,344,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,240,352,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,245,328,197,208,357,-1,-1,-1,-1,-1,-1,232,357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,250,344,197,216,357,192,357,-1,-1,-1,-1,232,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,255,352,202,216,352,200,352,-1,-1,-1,-1,232,352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,260,344,208,216,346,200,352,-1,-1,-1,-1,232,346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,265,344,213,216,352,200,352,-1,-1,-1,-1,232,352,256,378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,270,344,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,275,344,218,208,362,-1,-1,-1,-1,-1,-1,232,362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,280,344,218,200,368,-1,-1,-1,-1,-1,-1,224,368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,285,352,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,290,360,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,295,360,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,300,360,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,305,360,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,310,368,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,315,368,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,320,376,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
66,325,360,149,360,170,328,176,312,154,336,133,392,170,408,197,392,165,360,245,344,245,336,293,344,330,384,240,376,293,384,400
67,330,360,149,360,170,328,176,312,154,336,133,392,170,408,202,392,170,360,240,344,240,336,293,344,330,384,240,376,288,384,400
68,335,360,149,360,176,336,176,312,154,336,133,392,170,408,202,-1,-1,368,240,344,240,336,288,344,325,384,240,376,288,384,400
69,340,360,149,360,170,336,176,312,154,336,133,392,170,408,202,400,181,368,240,344,240,336,293,344,330,384,240,376,293,384,394
70,345,360,149,360,170,336,176,312,154,336,133,384,170,408,202,392,165,360,240,344,240,336,288,344,325,384,240,376,288,384,400
71,350,360,149,360,170,336,176,312,154,336,133,392,165,408,197,392,165,360,240,344,240,336,293,344,330,384,240,384,288,384,400
72,355,360,149,360,176,328,176,312,154,336,133,384,170,408,202,400,170,360,240,344,240,336,288,344,325,376,240,376,282,376,325
73,360,360,149,360,176,328,176,312,154,336,133,384,176,408,218,400,181,352,245,336,245,336,293,344,330,376,245,376,293,384,400
74,365,360,149,360,176,328,176,312,154,336,133,392,176,408,213,400,224,360,240,344,240,336,282,344,320,376,240,376,282,376,325
75,370,360,149,360,176,328,176,312,154,336,133,392,176,400,213,400,250,360,245,344,245,336,293,344,330,384,245,376,293,376,336
76,375,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,245,344,245,336,293,336,330,376,245,376,293,376,336
77,380,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,245,344,245,336,293,336,330,376,245,376,293,376,336
78,385,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,256,360,245,344,245,336,293,344,336,376,245,376,293,376,341
