,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
48,235,424,160,400,197,368,197,328,202,280,197,424,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
49,240,424,160,400,197,368,197,328,202,280,197,424,192,472,192,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
50,245,424,160,400,197,368,197,328,202,280,197,424,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
51,250,424,160,400,197,368,197,320,202,280,197,424,192,472,192,512,186,400,293,376,293,336,336,280,378,424,288,480,304,488,378
52,255,424,160,400,197,368,197,328,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
53,260,424,160,400,197,368,197,328,202,280,197,424,192,472,192,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
54,265,424,160,400,197,368,197,320,202,280,197,424,192,472,192,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
55,270,424,160,400,197,368,197,328,202,280,197,424,192,472,192,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
56,275,424,160,400,197,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
57,280,424,160,400,192,368,197,328,202,280,197,424,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
58,285,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
59,290,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,384,288,336,336,280,378,424,288,480,304,488,378
60,295,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,384,288,336,336,280,378,424,288,480,304,488,378
61,300,424,160,400,192,368,197,328,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
62,305,424,160,400,192,368,197,328,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
63,310,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,341,280,378,424,288,480,304,488,378
64,315,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,341,280,378,424,288,480,304,488,378
65,320,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,341,280,378,424,288,480,304,488,378
66,325,424,160,400,197,368,197,320,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
67,330,424,160,400,192,368,197,320,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
68,335,424,160,400,197,368,197,320,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
69,340,424,160,400,197,368,197,328,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
70,345,424,160,400,197,368,197,328,202,280,197,424,192,472,186,512,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
71,350,424,160,400,197,368,197,328,202,280,197,424,192,472,186,520,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
72,355,424,160,400,197,368,197,320,202,280,197,424,192,472,186,512,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
73,360,424,160,400,197,368,197,328,202,280,197,424,192,472,186,512,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
74,365,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
75,370,424,160,400,192,368,197,320,202,280,197,432,192,472,186,512,181,400,288,376,288,336,336,272,384,424,288,480,304,488,378
76,375,424,160,400,192,368,197,320,202,280,197,432,192,472,186,512,181,400,288,376,288,336,336,272,384,424,288,480,304,488,378
77,380,424,160,400,192,368,197,320,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
78,385,424,160,400,192,368,197,320,197,280,197,424,192,472,186,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
79,390,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
